	1	1_Mata	10	10_Sopo	102M	11	11A2	12	12_Makumba	121B	1220	13	14	15	157	16	16Susa	17_Mayele	18	18Lungu	19	1FECOB	2	20	21	21Mapoki	22	22_Susa	23	23Mongali7516	24	24_Mongali	249M	25	25_Mayele	251M	253M	28Wiya	29	2FecJUDY	3	3_Mama	30	30_Duma	31	32	33_Didon	34_Boto	35	35_Ngombi	36_Molongo	37_Ngonduma	38_Ito	39_Iyiki	4_Mio	40_Epessekele	41_Francois	42_Ndidje	43_Wala	44_Zulia	45_Maki	46_Singa	47_Mbusa	49_Bonango	4FecTEA	50_Bajungo	51_Malambo	52_Lindaki	53_Yambi	54_Manoi	55_Luma	56_Adamou	57_Yama	58_Abuya	59_Abeni	5Malui	6_samba	60_Omer	7_Tembo	87M	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH1Hope	CH2Bambari	CH3Maja	CH4Zira	CH6	CH7	CH8	CH9	D-H-S	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1
1	0.0	0.898	0.746	0.908	0.953	0.517	0.968	0.611	0.921	0.926	0.935	0.625	0.578	0.664	0.904	0.53	0.906	0.899	0.962	0.892	0.964	0.938	0.642	0.952	0.976	0.908	0.968	0.906	0.962	0.911	0.953	0.926	0.956	0.968	0.925	0.948	0.969	0.929	0.965	0.83	0.559	0.898	0.955	0.901	0.959	0.963	0.999	0.968	0.972	0.97	0.968	0.95	0.964	0.96	0.899	0.967	0.963	0.961	0.958	0.974	0.966	0.971	0.972	0.944	0.827	0.971	0.959	0.966	0.967	0.964	0.956	0.966	0.963	0.96	0.949	0.912	0.927	0.954	0.919	0.953	0.936	0.935	0.94	0.941	0.588	0.944	0.86	0.941	0.946	0.936	0.956	0.97	0.938	0.866	0.897	0.931	0.945	0.951	0.952	0.962	0.973	0.964	0.962	0.996	0.963	0.927	0.992	0.982	0.983	0.999	0.968	0.98	0.983	0.98	0.986	0.967	0.99	0.974	0.968	0.951	0.942	0.941	0.936	0.938	0.997	0.922	0.956	0.96	0.941	0.937	0.949	0.968	0.939	0.915	0.944	0.942	0.92	0.953	0.936	0.909	0.936	0.935	0.918	0.901	0.921	0.929	0.9	0.976	0.965	0.969	0.97	0.964	0.971	0.957	0.967	0.959
1_Mata	0.898	0.0	0.938	0.636	0.99	0.913	0.972	0.911	0.642	0.981	0.983	0.937	0.922	0.937	0.623	0.917	0.634	0.643	0.991	0.484	0.995	0.969	0.919	1.0	0.999	0.49	0.994	0.553	0.995	0.544	0.995	0.742	0.995	0.995	0.68	0.993	0.999	0.756	0.995	0.956	0.959	0.466	0.99	0.61	0.994	0.995	1.0	0.994	0.999	0.999	0.989	0.993	0.99	0.994	0.467	0.993	0.993	0.989	0.994	0.998	0.991	0.997	0.998	0.982	0.962	0.997	0.989	0.991	0.987	0.992	0.987	0.996	0.992	0.99	0.99	0.635	0.781	0.993	0.647	0.99	0.837	0.862	0.828	0.834	0.921	0.984	0.974	0.985	0.983	0.971	0.972	0.985	0.977	0.965	0.97	0.97	0.987	0.986	0.984	0.986	0.988	0.981	0.982	1.0	0.765	0.794	1.0	0.997	1.0	1.0	0.999	1.0	1.0	1.0	1.0	1.0	0.998	0.998	0.985	0.986	0.849	0.817	0.858	0.834	0.999	0.827	0.811	0.994	0.992	0.991	0.867	0.993	0.806	0.795	0.99	0.994	0.812	0.847	0.88	0.813	0.806	0.865	0.803	0.789	0.837	0.814	0.799	0.987	0.972	0.978	0.985	0.986	0.989	0.985	0.989	0.982
10	0.746	0.938	0.0	0.931	0.969	0.654	0.965	0.649	0.955	0.942	0.942	0.783	0.657	0.521	0.947	0.667	0.941	0.924	0.968	0.921	0.977	0.905	0.735	0.943	0.993	0.921	0.978	0.92	0.976	0.908	0.974	0.928	0.952	0.979	0.913	0.944	0.953	0.937	0.975	0.818	0.728	0.926	0.947	0.93	0.97	0.968	0.998	0.986	0.986	0.922	0.978	0.959	0.961	0.943	0.919	0.905	0.945	0.939	0.944	0.994	0.974	0.983	0.993	0.929	0.769	0.967	0.953	0.982	0.962	0.961	0.926	0.963	0.97	0.923	0.958	0.946	0.943	0.9	0.946	0.95	0.916	0.94	0.942	0.957	0.744	0.937	0.861	0.942	0.94	0.927	0.951	0.98	0.929	0.861	0.883	0.887	0.922	0.944	0.957	0.965	0.977	0.964	0.957	1.0	0.962	0.929	0.995	0.98	0.995	0.996	0.989	0.958	0.987	0.993	0.992	0.983	0.993	0.976	0.979	0.964	0.945	0.924	0.93	0.933	0.997	0.918	0.947	0.963	0.962	0.941	0.93	0.942	0.942	0.931	0.966	0.965	0.941	0.94	0.959	0.927	0.917	0.918	0.923	0.926	0.906	0.919	0.932	0.971	0.965	0.96	0.974	0.977	0.965	0.962	0.951	0.961
10_Sopo	0.908	0.636	0.931	0.0	0.973	0.917	0.974	0.898	0.584	0.971	0.98	0.914	0.923	0.922	0.737	0.914	0.625	0.624	0.983	0.614	0.989	0.98	0.906	0.993	0.987	0.604	0.986	0.527	0.988	0.554	0.986	0.602	0.984	0.987	0.548	0.983	0.989	0.685	0.987	0.92	0.91	0.674	0.985	0.531	0.986	0.981	0.998	0.98	0.976	0.983	0.968	0.981	0.98	0.979	0.56	0.975	0.979	0.986	0.977	0.981	0.98	0.982	0.984	0.973	0.945	0.982	0.974	0.974	0.976	0.983	0.98	0.975	0.977	0.976	0.976	0.61	0.608	0.983	0.532	0.957	0.866	0.839	0.851	0.875	0.938	0.984	0.963	0.979	0.983	0.979	0.971	0.972	0.981	0.963	0.972	0.969	0.986	0.981	0.967	0.971	0.976	0.977	0.984	0.992	0.662	0.857	0.979	0.985	0.992	0.985	0.978	0.983	0.979	0.985	0.989	0.988	0.992	0.98	0.982	0.985	0.848	0.862	0.87	0.813	0.995	0.861	0.857	0.98	0.962	0.968	0.845	0.983	0.834	0.836	0.97	0.966	0.84	0.845	0.901	0.826	0.863	0.883	0.854	0.812	0.832	0.884	0.82	0.988	0.977	0.979	0.982	0.982	0.986	0.99	0.983	0.981
102M	0.953	0.99	0.969	0.973	0.0	0.961	0.949	0.947	0.985	0.855	0.871	0.962	0.952	0.977	0.981	0.961	0.99	0.941	0.883	0.974	0.906	0.88	0.96	0.916	0.91	0.973	0.91	0.971	0.825	0.962	0.886	0.984	0.7	0.907	0.957	0.701	0.83	0.955	0.898	0.931	0.936	0.988	0.897	0.975	0.893	0.886	0.997	0.918	0.915	0.911	0.868	0.838	0.886	0.889	0.99	0.893	0.852	0.914	0.859	0.901	0.885	0.89	0.935	0.846	0.943	0.895	0.875	0.891	0.928	0.865	0.893	0.848	0.857	0.868	0.857	0.991	0.966	0.882	0.982	0.842	0.986	0.99	0.973	0.986	0.967	0.905	0.906	0.899	0.901	0.894	0.901	0.878	0.898	0.958	0.956	0.989	0.93	0.874	0.857	0.86	0.87	0.888	0.908	0.98	0.967	0.989	0.949	0.958	0.948	0.968	0.931	0.947	0.942	0.952	0.951	0.911	0.961	0.923	0.937	0.906	0.984	0.982	0.989	0.983	0.997	0.976	0.98	0.791	0.636	0.641	0.953	0.71	0.989	0.973	0.628	0.718	0.98	0.985	0.994	0.988	0.986	0.992	0.99	0.987	0.965	0.984	0.99	0.891	0.901	0.915	0.874	0.876	0.914	0.926	0.901	0.894
11	0.517	0.913	0.654	0.917	0.961	0.0	0.964	0.579	0.922	0.947	0.961	0.561	0.492	0.575	0.948	0.411	0.945	0.913	0.975	0.906	0.976	0.932	0.619	0.936	0.977	0.918	0.985	0.922	0.972	0.915	0.981	0.932	0.963	0.967	0.911	0.947	0.943	0.937	0.968	0.835	0.58	0.909	0.968	0.923	0.964	0.959	0.995	0.977	0.982	0.966	0.974	0.963	0.972	0.954	0.916	0.961	0.96	0.977	0.955	0.984	0.963	0.964	0.978	0.942	0.847	0.969	0.96	0.973	0.973	0.972	0.955	0.959	0.975	0.961	0.955	0.92	0.948	0.959	0.945	0.968	0.931	0.943	0.949	0.944	0.514	0.949	0.886	0.96	0.944	0.928	0.948	0.961	0.931	0.855	0.867	0.91	0.953	0.958	0.953	0.962	0.965	0.975	0.965	1.0	0.97	0.95	0.981	0.989	0.986	0.995	0.978	0.962	0.987	0.984	0.995	0.98	0.994	0.968	0.965	0.957	0.935	0.931	0.942	0.933	1.0	0.938	0.944	0.946	0.959	0.936	0.932	0.945	0.936	0.925	0.963	0.963	0.931	0.946	0.963	0.936	0.945	0.928	0.936	0.942	0.927	0.946	0.935	0.968	0.968	0.98	0.979	0.979	0.982	0.977	0.973	0.97
11A2	0.968	0.972	0.965	0.974	0.949	0.964	0.0	0.977	0.981	0.886	0.859	0.977	0.96	0.967	0.972	0.967	0.96	0.963	0.933	0.964	0.946	0.902	0.978	0.954	0.976	0.962	0.97	0.966	0.944	0.976	0.92	0.981	0.963	0.923	0.967	0.96	0.979	0.98	0.957	0.91	0.98	0.981	0.91	0.968	0.965	0.943	0.999	0.974	0.975	0.956	0.956	0.94	0.925	0.957	0.966	0.936	0.946	0.914	0.931	0.968	0.946	0.956	0.973	0.931	0.93	0.956	0.922	0.969	0.955	0.92	0.949	0.92	0.914	0.898	0.928	0.972	0.983	0.942	0.987	0.961	0.943	0.974	0.96	0.937	0.975	0.928	0.921	0.922	0.928	0.92	0.94	0.952	0.928	0.881	0.874	0.965	0.917	0.906	0.924	0.934	0.945	0.895	0.875	0.996	0.946	0.977	0.994	0.98	0.986	0.898	0.976	0.973	0.969	0.977	0.977	0.931	0.948	0.984	0.91	0.917	0.966	0.964	0.964	0.97	0.997	0.93	0.961	0.976	0.95	0.959	0.96	0.979	0.963	0.962	0.945	0.954	0.968	0.971	0.979	0.981	0.958	0.98	0.98	0.978	0.967	0.977	0.986	0.92	0.874	0.908	0.889	0.863	0.879	0.854	0.82	0.87
12	0.611	0.911	0.649	0.898	0.947	0.579	0.977	0.0	0.892	0.934	0.948	0.692	0.591	0.609	0.902	0.583	0.896	0.862	0.973	0.902	0.983	0.936	0.542	0.947	0.989	0.922	0.987	0.891	0.982	0.893	0.982	0.879	0.959	0.989	0.872	0.946	0.967	0.887	0.989	0.826	0.544	0.887	0.963	0.878	0.976	0.978	0.996	0.979	0.984	0.985	0.974	0.962	0.969	0.984	0.909	0.96	0.973	0.972	0.975	0.987	0.982	0.987	0.991	0.949	0.841	0.987	0.97	0.985	0.984	0.978	0.972	0.985	0.974	0.967	0.972	0.899	0.909	0.965	0.896	0.947	0.929	0.89	0.926	0.93	0.549	0.943	0.845	0.918	0.94	0.944	0.954	0.962	0.945	0.874	0.895	0.917	0.948	0.947	0.932	0.946	0.945	0.964	0.963	0.996	0.948	0.9	0.993	0.985	0.99	0.996	0.984	0.984	0.993	0.993	0.994	0.981	0.99	0.978	0.957	0.953	0.934	0.93	0.927	0.928	0.998	0.905	0.954	0.953	0.96	0.938	0.94	0.961	0.934	0.926	0.959	0.961	0.93	0.943	0.944	0.909	0.896	0.932	0.89	0.895	0.888	0.929	0.895	0.957	0.953	0.962	0.976	0.975	0.979	0.975	0.969	0.961
12_Makumba	0.921	0.642	0.955	0.584	0.985	0.922	0.981	0.892	0.0	0.978	0.98	0.919	0.931	0.954	0.731	0.913	0.701	0.68	0.985	0.646	0.987	0.979	0.922	0.983	0.988	0.663	0.985	0.642	0.982	0.657	0.984	0.698	0.987	0.984	0.655	0.988	0.988	0.735	0.989	0.968	0.915	0.626	0.984	0.69	0.987	0.985	0.999	0.994	0.985	0.99	0.984	0.982	0.984	0.985	0.616	0.965	0.982	0.986	0.979	0.988	0.986	0.989	0.975	0.98	0.973	0.982	0.983	0.983	0.99	0.986	0.983	0.98	0.986	0.981	0.983	0.655	0.735	0.977	0.687	0.982	0.867	0.865	0.83	0.856	0.931	0.976	0.966	0.967	0.972	0.975	0.976	0.97	0.971	0.977	0.988	0.993	0.979	0.967	0.97	0.968	0.977	0.977	0.98	0.995	0.746	0.881	0.988	0.992	0.996	0.996	0.986	0.996	0.994	0.989	0.989	0.992	0.988	0.984	0.973	0.976	0.866	0.864	0.87	0.843	0.993	0.881	0.864	0.99	0.98	0.985	0.905	0.986	0.833	0.847	0.99	0.982	0.844	0.849	0.903	0.87	0.856	0.906	0.881	0.864	0.889	0.878	0.868	0.973	0.971	0.977	0.98	0.986	0.987	0.991	0.982	0.983
121B	0.926	0.981	0.942	0.971	0.855	0.947	0.886	0.934	0.978	0.0	0.365	0.951	0.922	0.939	0.984	0.946	0.967	0.965	0.798	0.971	0.88	0.782	0.939	0.864	0.858	0.97	0.882	0.96	0.818	0.976	0.816	0.968	0.905	0.796	0.967	0.891	0.924	0.964	0.841	0.884	0.935	0.984	0.829	0.962	0.869	0.862	0.995	0.877	0.883	0.869	0.818	0.787	0.802	0.832	0.967	0.781	0.811	0.813	0.782	0.83	0.747	0.854	0.872	0.811	0.886	0.84	0.788	0.835	0.843	0.768	0.801	0.795	0.755	0.805	0.8	0.979	0.969	0.808	0.981	0.879	0.982	0.978	0.969	0.981	0.946	0.604	0.717	0.537	0.666	0.724	0.742	0.807	0.735	0.857	0.876	0.951	0.702	0.61	0.677	0.722	0.843	0.797	0.785	0.98	0.969	0.984	0.971	0.97	0.936	0.979	0.94	0.968	0.958	0.945	0.962	0.807	0.956	0.941	0.834	0.805	0.976	0.979	0.976	0.978	0.991	0.975	0.98	0.906	0.853	0.85	0.963	0.923	0.981	0.977	0.844	0.867	0.977	0.982	0.986	0.982	0.983	0.971	0.979	0.978	0.942	0.987	0.98	0.801	0.798	0.803	0.764	0.74	0.838	0.825	0.787	0.826
