Samples	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH1Hope	CH2Bambari	CH3Maja	CH4Zira	CH6	CH7	CH8	CH9	D.H.S	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1	X1	X1_Mata	X10	X10_Sopo	X102M	X11	X11A2	X12	X12_Makumba	X121B	X1220	X13	X14	X15	X157	X16	X16Susa	X17_Mayele	X18	X18Lungu	X19	X1FECOB	X2	X20	X21	X21Mapoki	X22	X22_Susa	X23	X23Mongali7516	X24	X24_Mongali	X249M	X25	X25_Mayele	X251M	X253M	X28Wiya	X29	X2FecJUDY	X3	X3_Mama	X30	X30_Duma	X31	X32	X33_Didon	X34_Boto	X35	X35_Ngombi	X36_Molongo	X37_Ngonduma	X38_Ito	X39_Iyiki	X4_Mio	X40_Epessekele	X41_Francois	X42_Ndidje	X43_Wala	X44_Zulia	X45_Maki	X46_Singa	X47_Mbusa	X49_Bonango	X4FecTEA	X50_Bajungo	X51_Malambo	X52_Lindaki	X53_Yambi	X54_Manoi	X55_Luma	X56_Adamou	X57_Yama	X58_Abuya	X59_Abeni	X5Malui	X6_samba	X60_Omer	X7_Tembo	X87M
d46e2205f0c6ecf67b51f83d111c509c	0.013701133	0	0.104874733	0	0.009923917	0	0	0	0.041699486	0.039966029	0	0	0	0	0	0.046265358	0.016135539	0	0.045990467	0	0	0	0	14.74835886	0.119184776	0	0	0	0.024448682	0.068193442	0.300176574	0	0	0	0.033392698	0	0.049897087	0.025488097	0	0	0	0.01687123	0	0.021226916	8.452322337	0	0	0	0	0	0	0	0	0.009156671	0	0	0.009395847	0.027879745	1.105313359	0	0	0.50969594	0.020157226	0	0.028524341	1.777711937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01747824	0	0	0	0	0.038918077	0	0.024927295	0.010764649	0	0.121648809	0	0	0	0.027277687	0.421496312	0.042685293	0.820560458	0	0	0.071984523	4.211126497	0	3.083496345	0.022733177	0.54401178	0.011847288	0.027745023	0.083594566	0	1.446038536	0.018439492	0.01197318	0.048075272	0.040307953	0.095592675	0.151630023	0	0	1.722368807	0.035723565	0	0	61.37905448	10.65054886	0.275128393	3.303934404	5.485071471	2.073481266	0.681881436	2.087692832	0	0.038952945	7.561765207	1.540423361	0.814429473	7.81380656	0.373416128	3.812114148	6.999746386	0.220211595	0	6.557709192	0.938327051	4.448461231	7.681479227	3.648757017	1.403635055	1.754333622	5.037325136	1.073989144	0.982484545	0	0.090947251	0.37716263	0	0
e70aac52b4b9557c354927fe02c01de3	7.992327366	0.676615657	1.8489027	1.32550408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033224168	0	0	9.428697312	0	0	0	0	0	0	0	0	0	0.011098163	0	0	0.066357001	0.050324312	0.523850085	1.341262812	0.867540675	0.206962428	0	5.455941466	0.540093422	0	0	0	0.379112696	0	1.460981638	0.808839239	0	0	1.244949732	1.096603318	8.62929922	7.270820107	10.47279948	15.30552464	3.225156219	8.428685956	7.964629817	8.281174771	4.749893723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37f004671c936285c26471120596b2f5	0	0.208675857	0	0.077716852	0.023155805	1.59229971	11.0477277	7.431993315	1.927442895	0.864265374	0.513950073	1.814340748	0.882432799	0.205983325	0.021051745	0	1.355385236	1.221869643	4.122418262	3.128661016	19.11934121	1.284564589	0.393943709	0	0	0.083223185	0	0	0	0	0	0	0	0	0	0.055490816	0	0	2.240824869	1.817266831	0	0	0.022173564	0	0	0.067747618	0.087582717	0	0	0	0.013539739	0	0.026483051	0.097671153	0	0	0.028187541	0.074345988	0.033664366	0.01380186	0	0.014646435	0.057112141	0.058304788	0.041201826	0	0.03117472	2.225991096	1.209744241	0.909201115	0.436121088	0.054516481	0.522703837	0.260467539	0.505976388	0.602584159	0.376179546	0.1268664	0.234531083	0.034956479	0	0.467599267	0.068951931	2.330848742	1.330998249	0.349147669	0.182800166	0.254763357	1.745286325	0.116970009	0	0.47913065	0.104554261	1.380932897	0	0.694606131	0	0.451432919	2.193009026	2.915373195	0	0.069317767	0.159579944	0.76643284	0	0.032580043	0	0.407523511	0	0	7.172962436	0	0	0.959329276	0	1.603779087	0.559323219	2.582664841	0	0.246817355	0	0	0	0	0	0	0	0	0	0.038931335	0.024881192	1.924275475	0	0	0	0	0.033565495	0	0.126807	0	0.087489064	0.020260688	0	0	0	0.021384657	0	0	0	0	0.055195761	0.814776896	0	0.996539792	0	0
90ba8ba071ad1adb1b1ea3f783d64b12	0	0	0	0	6.417466093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.460847801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045165078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013694409	0.008787861	0.023516764	0	0.012677485	0	0	0	0	0	0	0	0	0	0	0	4.714996174	4.223187274	0.443003156	2.282658091	0	3.358921404	0	4.266359181	4.187585133	0	0	2.935160932	2.97189318	0.584850044	0.535160711	3.551494196	0.722654448	4.21781233	0	4.194800155	0	0	4.498091719	0	0	1.856986501	0	1.305533905	0	2.890738382	0	0.825496343	0	0	2.078394184	0	0	0.036277157	0	0	1.663986576	3.60790452	0	1.942062873	0	0	0	0	0	0	0	0	0	0	2.955885646	0	0	0	0	0	0	0	0	0.004787209	0	0	0	0	0	0	0	0	0	0	0	1.663680573	0.024485798	0	0.022133687	0
d2ae019a0fa9e489ed9cfc2ae0629c8f	3.868286445	4.609839383	0.469994174	9.688700833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381847555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.76746167	5.466278628	2.469580642	2.817873063	0	0.596179034	9.016154146	0	0	0	2.333348377	0	7.12835452	10.42334341	0	0	13.39847787	4.753496585	0.235650564	1.374665305	1.311239686	1.444138497	3.154605926	0.619488375	2.044244422	1.822154735	0.75669548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d8f45fe6e9250729ae9b8b534db7c1a8	0.324260139	0.183381814	0.602058652	0.315185009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.210309884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783645656	0.316335569	0.806563375	0.774782424	0	0.70909173	0.243285325	0	0	0	0.388139189	0	0.617937853	1.916796386	0	0	1.033543174	0.339203569	0.892105706	3.431142518	0.640213633	0.846563946	1.992205872	3.243203848	0.744802231	2.033258027	2.910585235	0	0	0	0	0	0	0	0	0	3.02537618	3.430272275	0	0.786520782	0	0.167556404	0	0	0.428098852	0	0	0.631526068	0.010513773	0	3.135911242	0.03951593	3.176604447	1.305919258	0	4.043461389	0	0	0	0	0	3.298066399	0	2.058976357	0	0.980363119	0	0.336990596	0	0	0.295031874	0	0	0.036277157	0	0	0	4.284875758	0	0.95804105	0	0	0	0	0	0	0	0	0	0	3.344032246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.062196058	0.251853925	0	0.989692026	0
99deb3c5ecb022ec05609ebd1112a557	0	0	0	0.012952809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.805981036	12.0853363	0	0	0	5.32003325	26.84548503	7.781047675	3.422619048	0	6.344155844	0.53984862	0.155374286	14.85685773	13.37105572	0	0	0	0.012653423	0	0	0.147710487	0.045165078	0	0.011074197	0	0	0	0	0.030896893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065116885	0	0.362129903	0	0	0	0.027965183	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044326241	0.16995819	0	1.248903339	0	0	0	0	0	0.442705652	0	0.065445026	0	0.020808767	0	0	0	0	0	0	0.012092386	0.412557859	0	0	0	0	0	0.168089384	0.640756932	0	0.316519631	0.630961115	0.020671122	0	0	0	0	0	0	0.020446413	0	0	0	0.037761182	0	0	0	0	0	0	0.042254513	0.106528687	0	0.116969588	0	0	0	0	0	0	0.031141869	0	0
c06720adbf0bf0a25ca2dbd0facfc52d	0.561746438	0.316175541	1.608079239	1.230516817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.763934687	0.839575072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609028961	0.468176642	0.230050722	1.024198684	0.114885935	1.029763787	2.306344881	0	0	0	0.807871102	0	0.719456215	1.327717242	0	0	1.301324814	0.78063287	0.66206587	0.924724653	1.013386285	0.345655867	0.671907546	0.484658553	0.377155172	0.540720714	1.096783336	0	0	0	0	0	0	0	0	0	0	2.732507075	0	1.793267382	0	0	0	0	2.323409224	0	0	0	0	0	3.713493229	0	1.426858144	1.946944899	0	3.996895615	0	0	0	0	0	5.399489238	0	2.559106261	0	1.925184373	0	0.666144201	0	0	1.095832675	0	0	0	0	0	0	3.901389161	0	0.945050663	0	0	0	0	0	0	0	0	0	0	1.589908188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.077467793	0.769553659	0	1.647378739	0
6128c061f0201a07dcabe9199a0ba49e	0	0	0	0	0	7.485597739	1.003042403	2.200352799	6.384654589	6.829195184	6.986784141	7.091669773	6.928228799	0.137322217	0.08841733	0.025702976	7.079467527	3.111208374	5.209465674	2.115636414	0.311473311	0.887329757	1.153353268	0.07293946	0	0	0	0	0.019558946	0	0	0	0	0	0	0.099883469	0	0	2.45010464	0.956161932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.464490142	1.662707838	1.030427931	0.855139388	1.23291118	0.878284678	0.748844175	0.516975874	0.843038415	0	0	0	0	0	0	0.078802206	0	0.038918077	0.972136647	0.855837142	0	0	0	0	0	0	0	0	0	0	0.03043368	0	0	0	0	0	0	0.609456806	0	0	0	0	2.225839422	0	0	0	0	0	0.023327696	0	0	0	0	0	0	0	0.01346892	0	0	0.854267106	0	0	0	0	0	0	0.26013772	0.046904315	0	1.16640094	0	0.021738343	0	0.015439247	0	0.212527067	0	0	0	0	0.026852045	0	0.156744362	0.011039152	0	0	0	0	0
f88ef0e64238181013040bea7f173fd2	8.544939715	0.85367396	2.241211886	2.551703294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468793453	2.344935624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.206984668	3.677928213	7.098312037	2.080237741	0	1.201391084	1.342934994	0	0	0	0.649907478	0	2.846927966	2.780575649	0	0	2.579160011	3.689419637	3.31032935	1.120711072	2.584819747	0.541918097	1.824228986	1.147875519	0.852560852	2.588793008	1.198809693	0	0	0	0	0	0	0	0	0	0	0.944178784	0	0.531338484	0	0	0	0	2.74372446	0	0	0	0	0	0.00652635	0	0.159906516	1.316148391	0	0.896391153	0	0	0	0	0	0.689529369	0	0.324759678	0	0.547937091	0	0.036572623	0	0	0.136979084	0	0	0	0	0	0	0.536098611	0	0.451415952	0	0	0	0	0	0	0	0	0	0	0.733995173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046924324	0.251853925	0	1.42920382	0
