ITS	Kingdom	Phylum	Class	Order	Family	Genus	Species
5ef58296652d5359831628286945e59f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
935a26480fd0df674c49c7a7f219c786	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria_fimicola
0a7fe3595e40caeafecb26f55ecf526d	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
ae809e8a70861e39ceaeeb06ff40bf30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
d85324cc2d45c6daab18a25bf0d898ff	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	Schwanniomyces_occidentalis
114a0bce87e416d7710a2ea64c381af6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
3c757358e315ce375d8499594e64bc16	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_paxilli
45764da73ff78cb08974dcef2aeff320	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
d1bff85862d4cc0f472176a378262c1a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	unidentified
ecefd98f5444bacd0234a86b233094b8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ophionectria	Ophionectria_trichospora
1c9ff9e2aeeaebc0df06f1e182022bb7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
759c307b9fae00bc323e940bc7f73b6c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_anomalus
288359d621a383c1e46f0c0418660242	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
543eb306ab15d1b00b591205bb5b62a5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	Neopestalotiopsis_foedans
d5fe5d035dc1586d5947f510c1e38669	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense
87f1f89372c1542c10504ef404c7ba31	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
b28bd91e9ce12ded9b26d06e308e8844	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_anomalus
4f93b70139579714ecb79dade4715479	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
e49a1b4e6c515351b29a85a80fb6f612	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_pintolopesii
04d4cc29e2c11e41c541904f1ce504fe	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_carneum
2726a8ef00f8d9e165a5cf757dc24187	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_sydowiorum
6aed27fe0a1493fe286a0d9dbd827347	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
274c6b6158831a35ed9277540b91787f	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
a0dee6d19fb8aca2fbe35b1c18880e52	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
3bf160504bb9ccb17778c6feb0629293	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
3e4fa97314839bb499633b9156f9ee5a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
947639253d4d101586e4d8a59641fba2	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_pullulans
40adacc1c9e72c3b716624f295496e6c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_norvegensis
0152fd3fa6690a9866a2ae5b53be14db	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis
560eace4f24afb219021b5caf119c5a0	Fungi	Ascomycota	Sordariomycetes				
a171d6b000917ac0e0a39cb0c8b2fc1b	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
74aa55343d0c96f4c8c0c5b022ef08f1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
dc68cb3d2f016ebd3ca35ff641ce5046	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
429cf0d4d6dbee8b629acba2252d194a	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unidentified
5d6ba04b036af82be19961e4d19d15dd	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae
a28370b837cf1fbd06a50f41a7e668f6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_caesiellus
7e0f62d8d86b8074c3847a0ebd910436	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
84b6319cc04e29b3d9fd9017fb8c1d5e	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_eichhorniae
0922d71d308b2616cfd3eaf96ec64b60	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	unidentified
9f07dabd22066fabc4620a2ef42400d3	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
50517802dc755d214638e13830023890	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	unidentified	unidentified
1f44103e4bc7b5a30d6aa6ab84560671	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_caesiellus
ced09619db3fe8c69a7d7c0b7d6dc7c2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	unidentified	unidentified
55237845767c441c4e87aa4de69cf0b1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
52bc49fbf2ecd8b8a0a4d376100a3e0d	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_caesiellus
2343d35d2595e2249b6b0788c291563a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
d1551ff4d0702a0f8e0b9ac35a25bf6c	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_byssoides
d5fe18432fc7bad1d912ffc46af37601	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_persicinum
98aa8f9af5d75b003f297fa446e869aa	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_quercitrusa
fc8c5ffacde18a2283b840b81828090d	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Castanediella	Castanediella_couratarii
d232222b2a09e53187f280836ccd83fe	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_catenatum
9e42f44aaff2b3eeb6336925728fd29f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
6916d386b67ae389d75219a14bf80740	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
65dbd9e6773429e8cda9023ee43f4f6d	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
708cd72e3e980475485d6b60d18853c1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_jiangxiense
b89dac935be2eb5a9d8388f13e8a0b27	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora_cochleariformis
588841516ac3efbace3dfef2191cd89b	Fungi	Ascomycota	Sordariomycetes	Sordariales			
622b6149832b500ed5d5a01f49bc59b2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
76502a43990cac515e1d0defec049e43	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_rugulosus
c063137ad54e4d428e9642305252854e	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
61fb98f7862cf17f471eec3295cdb057	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomerium	Trichomerium_dioscoreae
08ba18934ec9f1c3bc74440c64b0c420	Fungi	Ascomycota					
f1370e8233dfcf18f00b3e7955abffe7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis
ce789aa233364330f9a601ee99d1717f	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Priceomyces	Priceomyces_melissophilus
cd27dfa017d816443e5e48c2d8993e06	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	unidentified	unidentified
