Samples	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH1Hope	CH2Bambari	CH3Maja	CH4Zira	CH6	CH7	CH8	CH9	D.H.S	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1	X1	X1_Mata	X10	X10_Sopo	X102M	X11	X11A2	X12	X12_Makumba	X121B	X1220	X13	X14	X15	X157	X16	X16Susa	X17_Mayele	X18	X18Lungu	X19	X1FECOB	X2	X20	X21	X21Mapoki	X22	X22_Susa	X23	X23Mongali7516	X24	X24_Mongali	X249M	X25	X25_Mayele	X251M	X253M	X28Wiya	X29	X2FecJUDY	X3	X3_Mama	X30	X30_Duma	X31	X32	X33_Didon	X34_Boto	X35	X35_Ngombi	X36_Molongo	X37_Ngonduma	X38_Ito	X39_Iyiki	X4_Mio	X40_Epessekele	X41_Francois	X42_Ndidje	X43_Wala	X44_Zulia	X45_Maki	X46_Singa	X47_Mbusa	X49_Bonango	X4FecTEA	X50_Bajungo	X51_Malambo	X52_Lindaki	X53_Yambi	X54_Manoi	X55_Luma	X56_Adamou	X57_Yama	X58_Abuya	X59_Abeni	X5Malui	X6_samba	X60_Omer	X7_Tembo	X87M
033f44f6ab9e723489b1802782125bc0	2.370295944	4.850132794	9.026995533	4.391002116	2.084022494	0.096611443	8.979844077	0.738093028	0.268730019	0.41464755	0.854625551	0.066277288	0.375599602	0.524767043	0.155782914	1.866036087	0.141185962	0.280847649	0.978342671	0.957894011	0	0.072224515	0.18035977	0	0.421119542	7.602682724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.253833049	2.197477751	2.724576624	2.181065591	0.032824553	3.455128495	0.408719346	0	0	0	0.027079478	0	2.021539548	2.54860666	0	0	2.513389082	0.311323823	4.701789822	2.282827725	8.428908898	2.0973695	5.429012968	7.718096349	4.443458418	3.240620718	6.028057248	0.04239983	0.287245208	0.151533519	0	0.050322905	0.007111617	0	0.043997947	0.005794078	2.706579954	1.356494584	1.505631641	1.534589436	0	1.500214316	0.167454689	4.336367006	0.463125122	1.115903334	0.635646032	1.600344469	2.295507114	2.227108969	3.974547234	2.573474932	3.594821489	6.816012002	0.010197491	1.680248351	0	0.1775298	3.607560429	0	0	1.448376505	0	2.52987789	0	3.258004324	0.027745023	2.907523511	0	0	2.513039355	0	0	4.115441977	0	1.72624949	0.996294484	0.536098611	0	3.734736295	0	0	0	0.026937841	0	0.006890374	0.177619893	0.025983475	0.046386492	0.199523091	0.574755542	0	0	0.056108136	0	0.040261389	0.008391374	0	0	0.196275552	1.924759405	0	0.016039779	0	0	0.048115477	0.050986743	0.014917803	0.043911925	0	0.106711805	3.370019623	3.637890024	0.211072664	4.243344084	0
675c847bccbc53942ebb7b8cbb4efc4d	0	0	0.112643232	0	0	2.547679536	0.30424035	0.71024046	1.445582171	0.514562622	0.220264317	0.331386438	0.574712644	6.601275135	6.399730538	0.107952501	1.36748689	1.145274829	0.928171252	0.248087658	0.157870035	0.588113908	0.711946462	0	0.11521195	0	0	0.029536862	2.11725588	0	0	0.027901786	0	0	0	7.718772543	0	0	1.730386402	3.38850369	0	0	0	0	0.147710487	0	0	1.378737542	0.708785104	0.322103247	0	0.753422103	0.017655367	0	0	0.415904176	0	0	0	0	0	0	0	0	0.364477688	0	0	0.736697053	1.027454013	0.127288156	3.052847614	2.256143588	0.821391743	2.669792277	0.839627484	1.037140043	0	0	0	0.059426015	0.696622993	0	0.206855792	0	0.132321463	3.313479838	2.775238887	0	0	0	0	0	0	0	2.862095924	0	1.656603189	0.497083439	0	6.073694156	5.718009286	0	0	0	3.051374346	0	5.396407019	0.101880878	0.449315401	3.369042662	0	0.770274585	1.651728993	0	8.935399477	0.437394296	0	0	4.983875696	0	3.23984048	1.479130487	0	7.047612634	6.518708731	2.418521326	0.630127717	2.021514317	2.648668708	7.654873716	0	3.443440324	2.620548645	0.331548074	2.161862528	9.492396791	4.535537467	5.202262229	6.963515815	0.485901671	0.813133652	6.172756129	5.020450718	3.866287941	6.517272866	4.990644213	1.469617899	6.602619566	3.86424942	1.70967461	6.785398881	0	0	4.314878893	0	0.345574884
da6a7cba87e0895b9cbe6037b9bd8b3b	0.031969309	0	0.163138473	0	0	1.77120979	0.275717817	0.589546003	1.139785943	0.4845881	0.308370044	0.17397788	0.475156123	4.801373222	4.875584186	0	1.375554659	0.594521647	0.936533155	0.172283096	0.179203823	1.042096574	1.841568181	0	0	0	0	0	0	0	0	0	0	0	0	1.831196937	0	0	1.015772549	1.632744352	0	0	0	0	0	0	0	2.27021041	0.4597525	0.500565857	0	1.917123569	0	0	0.515070584	0.765263683	0	0	0	0	0	0	0	0	0.288412779	0	0	0.376298495	1.679279677	0.278821675	2.710791859	2.470015936	0.405362159	1.269779254	1.294272934	0.958919984	0	0	0	0	0.249123455	0	0	0	0	1.718354214	2.098047362	0	0	0	0	0	0	0.071603928	1.760766851	0	2.523610466	0.968805478	0	7.130966842	13.74928729	0	1.379594358	0	6.928992147	0	1.036970243	0	0.546464677	2.320475451	0	0.355204342	1.48346554	0	3.78848863	0.437394296	0	0	3.070946936	0	4.390099206	5.036229714	0	1.851976564	6.049156273	8.774891477	6.851053032	1.662942369	2.616198163	3.007445618	0	1.822997819	1.956040211	0.994644223	1.147023708	4.506178575	6.255769069	1.092259206	3.141190537	0.873665566	0.705058926	6.314580941	3.284144679	3.666752741	2.073504794	2.376369955	1.148701338	4.725959961	3.23066307	1.422309947	4.066087724	0	0	2.138408304	0	0
d46e2205f0c6ecf67b51f83d111c509c	0.013701133	0	0.104874733	0	0.009923917	0	0	0	0.041699486	0.039966029	0	0	0	0	0	0.046265358	0.016135539	0	0.045990467	0	0	0	0	14.74835886	0.119184776	0	0	0	0.024448682	0.068193442	0.300176574	0	0	0	0.033392698	0	0.049897087	0.025488097	0	0	0	0.01687123	0	0.021226916	8.452322337	0	0	0	0	0	0	0	0	0.009156671	0	0	0.009395847	0.027879745	1.105313359	0	0	0.50969594	0.020157226	0	0.028524341	1.777711937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01747824	0	0	0	0	0.038918077	0	0.024927295	0.010764649	0	0.121648809	0	0	0	0.027277687	0.421496312	0.042685293	0.820560458	0	0	0.071984523	4.211126497	0	3.083496345	0.022733177	0.54401178	0.011847288	0.027745023	0.083594566	0	1.446038536	0.018439492	0.01197318	0.048075272	0.040307953	0.095592675	0.151630023	0	0	1.722368807	0.035723565	0	0	61.37905448	10.65054886	0.275128393	3.303934404	5.485071471	2.073481266	0.681881436	2.087692832	0	0.038952945	7.561765207	1.540423361	0.814429473	7.81380656	0.373416128	3.812114148	6.999746386	0.220211595	0	6.557709192	0.938327051	4.448461231	7.681479227	3.648757017	1.403635055	1.754333622	5.037325136	1.073989144	0.982484545	0	0.090947251	0.37716263	0	0
8adadd953ff6f3831d8492aaecdbe713	0	0	0.027189746	0	0	0.647654489	0.128351398	1.063039643	1.857943752	3.132337513	2.769456681	2.750507435	2.891664404	0.01961746	1.191528778	0	0.21782977	11.26308495	0.347018982	9.582385776	0.345607373	3.497730087	1.48559495	0.07293946	0.023836955	0	0	0	0.014669209	0	0	0	0	0	0	3.157427446	0	0	0.668674391	3.399686871	0	0	0	0	0.049236829	0	0	0	1.409907666	0.587620789	0	0	0	0	0.195536055	0.194088615	0	0	0	0	0	0	0	0	0	0	0	1.627093492	0.220957852	0.024245363	4.891397298	2.260337163	0.15645557	0.735820798	0.09899538	0.912567356	0.047819434	0	0	0.038452127	2.514301532	0	0	0	0.062268924	1.862120901	1.641046946	0.304998385	0.44858765	0	0	0	0	0.023867976	4.803018457	0	0	2.353537915	0	0	2.859004643	0	0	0	5.89414267	0	12.40549351	0.036572623	1.375269437	0.22334103	0	1.237228608	0.010301844	0	10.29885289	0.052487316	0	0	0	0	3.431000956	10.629379	0	0	0	0.031006684	3.294426119	1.403107624	5.821504778	4.550099762	0	0.592084762	3.935934571	0.122417751	2.447552448	0.151754467	0.109087858	0	0.054345857	0.038297669	0	1.816708314	1.271152458	0.408460292	0.007609192	0.074846298	0.047987523	3.789121938	4.221817954	4.664596093	1.030320871	0	0	10.94463668	0	0
59777186ad2e0947e97615b5d6225136	0.036536354	0	0.233054962	0	0.076083361	1.484953662	0.218672751	0.283167765	1.158319047	0.499575361	0.243759178	0.34795576	0.565662051	0	0	0	0.185558693	0.42309516	1.308637846	0.182620081	0.413875496	0	0	0	0	0	0	0	2.205271136	0	4.879340789	3.487723214	0.323915782	1.922077922	5.086821015	0.493868265	0	0.443492889	0.832014701	0.542384254	0	0	0	0	0	0	0	0.664451827	0.973142791	0.809610864	0	0.290925366	0	0	1.287676459	1.142350136	0	0	0	0	0	0.049797879	0	0	0.085573022	0	0	0	0.276197315	0	0.53018642	0.578713411	0	0	0.245655203	0.240454256	0.417623055	0	0.037640791	0	1.033400996	0.120796477	0.177304965	0	0.159564118	1.05428904	0.70211882	0.556173526	0	0	0	0	0	0	1.58061117	0	1.037312277	0	0.13630581	3.675709722	3.087073389	0	4.107896633	0	1.934718586	0	2.635777207	0	0.704332251	3.546958398	0	0.626596424	0.388036125	0	7.833568122	0	0.422988184	0	1.641747288	0	1.611680564	4.042158213	0.052999788	7.52575931	11.81217902	1.750155033	3.497420283	2.442446604	2.078114853	4.559832595	0	2.898099096	2.961322201	2.713593471	3.492239468	2.812103193	2.748174876	4.351767906	3.568711279	2.05371248	0	6.848112379	3.079637501	4.014178737	4.356262365	2.480620155	1.277667806	3.532535728	2.8856408	1.477460741	3.727553724	0	0	1.941176471	0	2.366309377
f5f5e0da89730462abaf6301a9557193	0	0	0.058263741	0.038858426	0	0.69417111	0.456360525	0.102126079	0.718157809	0.289753709	0.138032305	0.165693219	0.266992488	0.063756744	0	0	0.213795885	0.324616114	0.756752237	0.244641996	0.072534881	1.269087908	0.18985239	0.758570387	0	0	1.114479315	2.51063327	2.381301648	0	2.071806945	1.669456845	5.263631456	5.285714286	3.005342832	0.449475612	4.272438096	4.445124127	0.408350773	0.167747707	0	0	0	0	0.246184146	0	0	0.221483942	0.149419562	0.095760425	0	0.141732871	0	0	0.453071347	0.266178672	0	0	0	0	0	0	0	0	0	0	0	0.514097944	0.756780644	0.515213965	0.26509321	0.360647488	0.295132098	0.234420785	0.384982034	0.631554551	0.58020913	0	0	0.020973888	0.318324414	0	0	0.135897541	0	0.232765113	0.145409223	0	0.185743324	0	0	0	0	0	1.359665522	0	3.400939258	0.21810804	0	4.38655689	3.241834324	0	3.685781942	0	1.885634817	0	2.014982313	0	0.619326634	2.680092365	0	0.183588761	0.078980804	0	2.540752667	0.163293871	0.349577012	0	2.865728525	0	2.669654922	1.383316366	0	2.619705031	2.553191489	2.718252601	2.736192168	1.678532453	2.606920865	3.703343228	0	1.706138984	1.799284376	3.172660036	2.758826539	2.508594258	2.542586221	2.827785693	3.416542879	1.792809613	0.334517009	3.079624502	2.053091667	1.441348388	2.899102115	1.112002138	1.730550057	1.703613092	1.49927859	1.323619053	1.582278481	0	0	1.342560554	0	0.128858431
e70aac52b4b9557c354927fe02c01de3	7.992327366	0.676615657	1.8489027	1.32550408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033224168	0	0	9.428697312	0	0	0	0	0	0	0	0	0	0.011098163	0	0	0.066357001	0.050324312	0.523850085	1.341262812	0.867540675	0.206962428	0	5.455941466	0.540093422	0	0	0	0.379112696	0	1.460981638	0.808839239	0	0	1.244949732	1.096603318	8.62929922	7.270820107	10.47279948	15.30552464	3.225156219	8.428685956	7.964629817	8.281174771	4.749893723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a16930bcf789ac4fb2033e1bae65d393	2.721958349	0.594410016	2.066420664	1.11394154	0.324181277	0	0.014261266	0	0	0.019983014	0	0	0	3.217263364	3.477748305	1.280008225	0.080677693	0.043768465	0	0.031010957	0	0	0	0	0.870048866	0.673128702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.456558773	2.606605087	2.455722165	1.0454256	0	2.068560589	0.686064617	0	0	0	0.379112696	0	0.520833333	1.135427159	0	0.011090778	0.93488678	1.62631848	0	1.2366467	2.369132802	0.776261058	1.679768864	1.056774288	1.305780933	3.18506722	0.467620802	0.445198219	0	0	0	0	0	0	0	0	0.057383321	0.96613643	6.668210904	0.230712763	0	0.69360558	0	0.811267142	0.031134462	0	0.029081845	0.039470379	0.683395248	3.579282272	0	0.261793035	0.024601002	2.632296781	0	2.382615444	0	2.409332995	0.299872781	0	0	1.904414447	0	0.850870356	0	5.011403015	0	0	0	0	0.995732575	0	0	0	0	1.644602554	0.038453471	1.972216787	0	1.601065212	0	0	0	0	0	0	0	0	0	0	1.572491354	0	0	0	0	0	0	0	0	0	2.552622099	0	0	0	0	0	0	0	0	0	0	0	0.027983769	0	0	0
37f004671c936285c26471120596b2f5	0	0.208675857	0	0.077716852	0.023155805	1.59229971	11.0477277	7.431993315	1.927442895	0.864265374	0.513950073	1.814340748	0.882432799	0.205983325	0.021051745	0	1.355385236	1.221869643	4.122418262	3.128661016	19.11934121	1.284564589	0.393943709	0	0	0.083223185	0	0	0	0	0	0	0	0	0	0.055490816	0	0	2.240824869	1.817266831	0	0	0.022173564	0	0	0.067747618	0.087582717	0	0	0	0.013539739	0	0.026483051	0.097671153	0	0	0.028187541	0.074345988	0.033664366	0.01380186	0	0.014646435	0.057112141	0.058304788	0.041201826	0	0.03117472	2.225991096	1.209744241	0.909201115	0.436121088	0.054516481	0.522703837	0.260467539	0.505976388	0.602584159	0.376179546	0.1268664	0.234531083	0.034956479	0	0.467599267	0.068951931	2.330848742	1.330998249	0.349147669	0.182800166	0.254763357	1.745286325	0.116970009	0	0.47913065	0.104554261	1.380932897	0	0.694606131	0	0.451432919	2.193009026	2.915373195	0	0.069317767	0.159579944	0.76643284	0	0.032580043	0	0.407523511	0	0	7.172962436	0	0	0.959329276	0	1.603779087	0.559323219	2.582664841	0	0.246817355	0	0	0	0	0	0	0	0	0	0.038931335	0.024881192	1.924275475	0	0	0	0	0.033565495	0	0.126807	0	0.087489064	0.020260688	0	0	0	0.021384657	0	0	0	0	0.055195761	0.814776896	0	0.996539792	0	0
