SUID	AverageShortestPathLength	BetweennessCentrality	ClosenessCentrality	ClusteringCoefficient	Degree	Eccentricity	Group	IsSingleNode	name	NeighborhoodConnectivity	New_Name	NumberOfDirectedEdges	NumberOfUndirectedEdges	PartnerOfMultiEdgedNodePairs	Radiality	selected	SelfLoops	shared name	Stress	TopologicalCoefficient
72	1.93548387	0.06616602	0.51666667	0	9	3	BaAka-Human	FALSE	Lachnospiraceae	7.77777778	ASV_B386	9	0	0	0.81290323	FALSE	0	Lachnospiraceae	788	0.45185185
73	1.80645161	0.23546125	0.55357143	0	11	3	BaAka-Human	FALSE	ASV_F1: Lactarius	6.72727273	ASV_F1	11	0	0	0.83870968	FALSE	0	ASV_F1: Lactarius	1778	0.38181818
75	2	0.09192399	0.5	0	9	3	BaAka-Human	FALSE	Mollicutes	8	ASV_B446	9	0	1	0.8	FALSE	0	Mollicutes	992	0.46666667
77	2.06451613	0.03345247	0.484375	0	7	3	BaAka-Human	FALSE	Ruminococcus	9	ASV_B469	7	0	0	0.78709677	FALSE	0	Ruminococcus	434	0.53333333
79	1.93548387	0.05890132	0.51666667	0	9	3	BaAka-Human	FALSE	ASV_B539: Clostridiales	8	ASV_B539	9	0	0	0.81290323	FALSE	0	ASV_B539: Clostridiales	748	0.46666667
81	1.87096774	0.12329525	0.53448276	0	10	3	BaAka-Human	FALSE	ASV_B542: Faecalibacterium prausnitzii	7.3	ASV_B542	10	0	0	0.82580645	FALSE	0	ASV_B542: Faecalibacterium prausnitzii	1048	0.42
83	1.87096774	0.07639261	0.53448276	0	10	3	BaAka-Human	FALSE	ASV_B579: Faecalibacterium prausnitzii	7.6	ASV_B579	10	0	0	0.82580645	FALSE	0	ASV_B579: Faecalibacterium prausnitzii	906	0.44
85	2.70967742	0.06451613	0.36904762	0	2	4	BaAka-Human	FALSE	Anaerostipes	6	ASV_B788	2	0	0	0.65806452	FALSE	0	Anaerostipes	350	0.5
87	2.12903226	0.04382018	0.46969697	0	6	3	BaAka-Human	FALSE	Mogibacterium	8.66666667	ASV_B794	6	0	0	0.77419355	FALSE	0	Mogibacterium	530	0.51111111
89	2	0.08716357	0.5	0	8	3	BaAka-Human	FALSE	RF32	7.75	ASV_B815	8	0	0	0.8	FALSE	0	RF32	962	0.45
