Sample	Group	Trichoderma	Aureobasidium	Neopestalotiopsis	Saccharomycopsis	Talaromyces	Fusarium	Ophionectria	Nigrospora	Unassigned Capnodiales	Ganoderma	Unassigned Sordariomycetes	Unassigned Pleosporale	Unassigned Pleosporale2	Hanseniaspora	Lactarius	Lasiodiplodia	Candida	Pichia	Schwanniomyces	Unassigned Ascomycota	Sordaria	Wickerhamomyces	Trichosporon	Unassigned Didymosphaeriaceae	Cladosporium	Saccharomyces	Aspergillus	Malassezia	Penicillium	Unassigned Saccharomycetales
X33_Didon	BaAka-Human	0.0822876	0	0	0.30857848	0	0.072001646	0	0	0.216004937	0	0.58629912	0	0	0	0	0	1.49146266	0	0	0.16457519	0	0	12.82657889	0	0.0617157	9.80250977	2.232051018	0.668586711	2.38634026	20.70561613
X34_Boto	BaAka-Human	0	0	0.44745171	0	2.35730656	0	0	0	0	0.28374986	0	0	0.41471134	0	0	0	0.55658627	0.894903416	0	0.70937466	0	0	6.10062207	0	0.29466332	1.98624905	10.54239878	0	0.22918258	13.64182036
X35_Ngombi	BaAka-Human	0	0	0.48020338	0	3.31905278	0	0	0.14594416	0	0.08474177	0	0.15065204	0.16006779	0	0	0	0.05178664	0	0	0.12240478	0	0	18.32305447	0	0.08474177	9.67468575	8.77548138	0.207146556	0.15535992	1.73720635
X36_Molongo	BaAka-Human	0.14557671	0.07838746	0.12318029	0	0	0.055991041	0	0	0	0.07838746	0.07838746	0	0	0	0	0	7.92833147	0	0	0	0	0	19.69764838	0.54871221	0	10.41433371	40.16797312	0.033594625	0.22396417	4.54647256
X37_Ngonduma	BaAka-Human	0	0	0.30049171	0.04552905	0.33691495	0.191222	0.209433619	0	0	0	0.61008924	0.21853943	0.07284648	0	1.6299399	0	0.13658714	0.200327809	0	2.8774358	0	0	1.37497724	0.21853943	8.72336551	0.23675105	0.291385904	0	0.15479876	7.90384265
X38_Ito	BaAka-Human	0	0	0	0.05698547	0	0	0	0	0	0	0	0	0	0	4.48285687	0	0	1.101719062	0	0	0	0	3.22917656	0	4.45436414	0	3.485611169	4.378383512	0	47.51638332
X39_Iyiki	BaAka-Human	0.13024467	0	0.14885106	0	1.14429249	0	0	0	0	0.04651595	0.34421807	0.13024467	0	0	0	0.06512234	0	0	0	2.61419667	0.01860638	0	0.26979254	0	0	0.11163829	0.09303191	0.18606382	0.29770211	2.38161689
X40_Epessekele	BaAka-Human	0	0	0.93574548	0.21834061	0	1.746724891	0.717404866	0	0	0.49906425	0	0.21834061	0	0.779787898	0	0.68621335	0	0.15595758	0	0.81097941	0	1.965065502	1.40361822	0.68621335	1.90268247	2.46412976	2.557704304	0.655021834	0	22.48908297
X41_Francois	BaAka-Human	0	0.04534325	0	0.11335812	0	0	2.280765394	0.23578489	0.362745987	0	0.19951029	0	0.11335812	0.321937064	0.68921738	0.24485354	0.16323569	1.450983948	0	3.01532602	0	0	3.76802394	0.0725492	1.44644962	17.12161059	0.662011426	0.217647592	2.64351138	14.88618845
X42_Ndidje	BaAka-Human	0.05937655	0	0.02968827	2.05838694	0.61355764	3.265710045	0	0.326571	0	0	0.13854527	0	0.22761009	0.217714003	4.50272143	1.48441366	0.08906482	0.296882731	1.82088075	0.29688273	0	3.404255319	1.53389411	0.06927264	2.70163286	0.83127165	1.444829292	0.296882731	1.41514102	25.51212271
X43_Wala	BaAka-Human	0.94723599	0	0.54762081	0	0.09620366	0.540220528	0	0	0.814030933	0	0.79923037	1.39125287	0.26641012	0.643824465	6.815659	0	0.90283431	0	0.25900984	8.21431214	0	0.266410124	5.45400725	0.45881744	2.22008436	12.21786428	0.577221934	0.266410124	0.46621772	9.47976023
X44_Zulia	BaAka-Human	0	0	0.23393181	0.16960056	1.36850108	1.426984034	0	0.14620738	0	0	0	0.18714545	0	0.485408503	3.99438564	0.19884204	2.79548512	8.415696824	0	0.19884204	0	0.076027838	8.87186385	0.30411135	0.66670566	0.05263466	0.456167027	0.035089771	0.18714545	21.92525879
X45_Maki	BaAka-Human	0.4216253	0	0	0.70724243	0.20401224	2.733764026	0	0	0	0	0.38082285	0	0.13600816	0	13.07718463	0.06800408	0	0.03400204	0.12240734	1.73410405	0	0	0.81604896	0.23801428	0.70724243	6.56919415	5.855151309	0.285617137	0.20401224	13.11798708
X46_Singa	BaAka-Human	0	0	0	1.12864658	0.48780488	1.396461023	0	2.41032999	0	0	0	0.88952654	0	0	2.28598757	1.57819225	0	0	0.86083214	0.6408417	0	0	0	1.60688666	0	0.26781444	3.921568627	2.209469154	0	14.13677666
X47_Mbusa	BaAka-Human	0.32823223	0.2728164	0	0.9164926	0	4.66345539	0	0	0	0	0.09804339	0.22592608	0.10656891	0.251502622	7.21684641	0.72040581	0	4.748710516	0.12361993	0.44332666	0	0	2.25073533	0.48169146	0.17477301	1.90545207	0.468903193	1.406709578	0.18329852	18.21902042
X49_Bonango	BaAka-Human	0.02776235	0	0	0.27762354	1.13825652	0.138811771	0	0	0	0.06940589	0.06940589	0.03470294	0	0.478900611	2.09605775	0	0.26374237	2.706829539	1.52692948	3.643809	0	0.138811771	1.22154359	0.15269295	0.25680178	6.56579678	3.636868406	0.229039423	1.01332593	12.61799001
X50_Bajungo	BaAka-Human	0.45490333	0	0	2.05581314	0	0	0	0	0.17496282	0	0	0	0	0.192459102	0	0	0	5.756276791	0.91855481	0	0	0	4.2865891	0	0.7260957	1.52217654	0.332429359	0.804828974	0.52488846	21.30172338
X51_Malambo	BaAka-Human	0.81142282	0	1.0315763	0	0	0.30192477	0	0.23273368	0	0.41514656	0.64159014	0.9749654	0.38998616	0	0	0.50949805	0	2.358787269	0	0.42772676	0	0	0.17612278	0.37111586	1.44672286	12.54245817	0.666750535	0.824003019	1.12592779	11.09573531
X52_Lindaki	BaAka-Human	0	0	0.09317836	0	0.7454269	2.633514786	0	0	0	0.34328871	0	0.62282379	0.32857633	0.098082487	0	0	0	0.220685597	0.27953509	0.2010691	0	0	23.84385268	0.24030209	0.35309695	10.86263548	4.492177922	0	1.45652494	29.76803492
X53_Yambi	BaAka-Human	0	0.37495066	0	2.0260492	0	0	0	0	0	0.44073148	0	0	0	1.210367057	8.01868175	0.1447178	0.61833969	1.170898566	0	0.52624655	0	0	2.08525194	0.11182739	0.66438626	8.52519405	10.67622681	1.085383502	0.80252598	17.63583739
