Samples	B1	B2	B3	B4	C6	CH10	CH11	CH12	CH13	CH14	CH15	CH16	CH17	CH1Hope	CH2Bambari	CH3Maja	CH4Zira	CH6	CH7	CH8	CH9	D.H.S	Day	G161	G6	H1	H10	H100	H12	H2	H3	H4	H5	H6	H7	H9	HA	HB	Jab	Jab2	K1	K2	K3	K4	K5	K6	M1	M157	M158	M159	M2	M255	M3	M4	M45	M49	M5	M7	MH10	MH2	MH3	MH4	MH5	MH6	MH7	MH8	MH9	MK	Nne	PA	Sam2	Samson	SCH2	Scho2	Shorder	T1	X1	X1_Mata	X10	X10_Sopo	X102M	X11	X11A2	X12	X12_Makumba	X121B	X1220	X13	X14	X15	X157	X16	X16Susa	X17_Mayele	X18	X18Lungu	X19	X1FECOB	X2	X20	X21	X21Mapoki	X22	X22_Susa	X23	X23Mongali7516	X24	X24_Mongali	X249M	X25	X25_Mayele	X251M	X253M	X28Wiya	X29	X2FecJUDY	X3	X3_Mama	X30	X30_Duma	X31	X32	X33_Didon	X34_Boto	X35	X35_Ngombi	X36_Molongo	X37_Ngonduma	X38_Ito	X39_Iyiki	X4_Mio	X40_Epessekele	X41_Francois	X42_Ndidje	X43_Wala	X44_Zulia	X45_Maki	X46_Singa	X47_Mbusa	X49_Bonango	X4FecTEA	X50_Bajungo	X51_Malambo	X52_Lindaki	X53_Yambi	X54_Manoi	X55_Luma	X56_Adamou	X57_Yama	X58_Abuya	X59_Abeni	X5Malui	X6_samba	X60_Omer	X7_Tembo	X87M
022e203c0237562b1af030c2cda7cfd9	0.007054425	0	0	0	0	16.79330129	30.10930772	21.64460021	40.60765942	33.11574883	20.83811711	17.2690444	34.43248532	0	17.09478744	0	26.09805238	8.681182847	15.50480769	15.85566603	16.1076693	23.47840587	1.829098017	0.248394004	0.027234043	0	0	0	0	10.23813819	0	4.717813051	0	3.233893206	0	0	0	0	13.81629516	7.685142059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14239943	0	0	0	0	0	0	0	0	0	3.59223301	0	29.00489396	11.99011125	42.0286559	23.91054103	8.514246947	0.966145002	11.60636529	0	0	0	0	0	0	0	0	0	14.34199187	9.333132621	0	0	0	0	0	0	0	0	0	0	69.93542215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141562854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.88336554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ef58296652d5359831628286945e59f	0	0	0.016756968	0	0.474342389	0	0	0.097352025	0.100063677	0	0.064580941	0.031773771	0	0	0	0	0	0.085575735	0	0	0	0	0	0	0	0	0	0	0.081234768	0	0	0.044091711	0.687285223	0	0.134014574	0	0	0	0	0.069864928	0	0	0	0	0	0	0	0.198722498	0	0	0	0.035044682	0	0	0	0	0.062437562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185414091	0	0.049333991	0	0	0	0	0	0	0	0	0	1.84569952	0	0	0.073864336	0	0	0	0	0	0	0	0	18.88933121	0	9.978096861	0	0	13.98895991	3.656780881	0	9.145129225	0	16.31393298	0	9.740503949	0	0	10.98096633	0	0	0	0	0	0	0	0	20.53056517	0	0	21.65101335	25.98499062	3.878822197	0	1.827179292	4.983596313	6.548821549	34.47991518	3.205128205	0	27.82079646	13.91164227	25.6522471	10.49926579	9.211444522	11.67215903	12.87916459	15.1718776	7.209796326	0	17.53418849	6.997764603	25.56555583	11.62554917	14.08114558	27.43982495	13.87824953	22.46305419	21.32813209	8.492063492	0	0.028572789	26.68794892	0	0
a237fc3e168e57cbb614ab7394c17193	0	0	0	0	0.344976283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006808511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.098574822	0.096545806	0	0.231399074	0	0	0	0	0	0	0	0	0.014580802	0	0	0	0.106799573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092954081	0	0	0.060655075	0	9.950083195	0	0	0	0	0	0	0	0	0	0	0	15.30887022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952204863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
935a26480fd0df674c49c7a7f219c786	0	0	0	0	0	0	14.04438556	3.050363448	0	2.75811345	6.69489093	2.510127889	0.636007828	0	0.015021782	0	0	7.673290862	0.145947802	4.06926977	6.223741366	26.64665666	0.586428372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.04227517	24.6157429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038882139	0	0	0.062437562	0.053399786	0	0	0	0	0	0	0	0	0	0	0	5.970636215	17.98516687	39.79986354	26.04012498	0	6.9227084	52.26031193	0	0	0	0	0	0	0.073827981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053418803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a7fe3595e40caeafecb26f55ecf526d	0	0	0	0	0	0	0	0	1.955790048	1.158407649	3.14293915	0	0.753424658	0	11.3915177	0.494452484	0	0	5.45157967	0.902087312	0.427259133	0	0.586428372	0	0	0.978301768	0	0	0	0	0	0	0	0	0	1.959084605	4.631117604	0	0	0	8.222119957	0	0	0	0.035599858	30.38850452	34.5588659	0	0	0	0	0	0	3.810449575	0	0.716153234	0	67.01673193	7.946964643	1.642087648	2.640551899	0.366532741	4.483230664	1.367747629	1.674733041	2.57832193	1.962273706	0	0	0	0	0	0	0.373134328	0	0	1.867766701	3.307756786	2.009097801	0.527099805	1.490550972	6.172839506	0.147655962	2.912084536	0.215940322	0	0	4.012539185	1.945998541	3.785942492	0	3.695991671	2.095808383	2.203801051	0	0.6921797	0	2.176512796	2.374323279	0	0.417506479	0.267471367	0	4.987947339	0	0.590470623	0	3.496644026	0	0	1.171528312	0.839710884	0	0.602448247	0	0	27.56942064	3.092365406	0	2.975609756	0	0	0	0.764439411	0	0	0	1.851851852	1.920131935	0	0.619395396	0	0	1.043595354	1.309348997	0.224858494	0	0	0	0	0	0	1.681407328	0	0	0	0.350109409	0	1.083743842	6.123559829	0.962301587	0	0.095242631	4.102154828	1.337862193	0
7baae0d5fced0473d9b27d518c762646	0	0	0	15.66117542	0	0	0	0	0	0	0	0	0	0	0	0.024119633	0	0	0	0	0	0	0	0	0	3.474225511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088999644	0.035479865	0	0	0	0	63.25802616	0	47.11132361	14.34750911	0	0	46.32867133	0.053399786	11.8245497	5.700240561	9.674094045	5.455698879	11.49041752	8.780057357	7.129138818	6.424198776	1.158374478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae809e8a70861e39ceaeeb06ff40bf30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312243221	0	0	0	0	0	0.261452768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.804823006	0	0	0	0	0.110741971	0	0	0	0	0	0	0	0	0	2.136902665	0.909826122	0	0.166389351	1.338525189	0	0	0	0	0.048007681	0.381047051	0	0	0	0	2.138177726	0	0	4.958286492	0.276360544	0.077399381	0.057681215	0	0	0.020569078	2.058197303	0	2.604878049	0	0	0	0	0.55642497	0	0.468676769	0.404040404	0	0	75.2796524	0	0.107425809	0	0.636319139	0.255873459	0.244498778	0	0	0.274896914	0	0	0.573427933	0.297981027	0	0	0	0.423763344	0	1.215640025	0.148809524	0	76.29410924	0	0.734784417	0
af9f3eb7bc71b504f920ee4834b1bfd2	0	0	0	0	0	0	0	5.094755971	0	0	0	0	0	4.013904375	0	25.71152918	4.741437206	1.426262242	2.403846154	0.197537367	0	0	0	0	0	0	5.143578416	0	4.597887896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.65783259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.349231252	0	0	0	0	1.044787585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.320882226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726321906	1.914771091	0.082298882	1.209410205	0	0	0	0	0	0	0	0	0	0	0	0	50.62553556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.440528634	0	0.106303816	2.088513178	0	0	0	0	0	0	0	0	0	0	0	0.616891953	0	0	0	0	0	0
d85324cc2d45c6daab18a25bf0d898ff	0	0	0	0	0.258732212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03548616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.869301696	0	11.4816088	0	0	0	0	4.966627405	0	0	0	0	0	0	0	19.89550311	0	0	26.4359401	0	0	0	0	0	19.95062067	0	0	0	13.71528793	0	19.00245167	0	0	0	0	0	16.9710953	0	0	0.034281796	0	0	0	0	0	0	0	0	0	0	0	0	0	2.875104003	0	0	0	0	0	0	0	0	2.748969137	0	0	0	0	0	0	0	0	0	0	0	0	3.414448307	0	10.54346319	0
3c757358e315ce375d8499594e64bc16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77493817	0.39441249	0	5.502015069	0	0	27.79878349	5.047175173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.966600039	0	3.002177151	0.785200958	0	0	0	64.25206125	0	0	0	0	0	9.23963562	0	0	0	0	0.612312812	0	0	0	0	0	0.308620808	0	0	0	2.923121894	0	2.403440376	3.176634862	0.788377069	9.673983788	47.70408163	5.672268908	0.217906813	0	0	0	0	0	7.102439024	0	0	0	0	0	0	0.218715826	0.286195286	0	0	1.192567255	0	0.637840741	0.908937889	0	0	0	0	0	0.274896914	0	0.636064879	0	0.650693262	0.177424806	0.18477173	0.948212983	0	0	0.480812846	0	0	0.052383447	1.915403033	24.18549841	18.98907104
